time_open_sec,time_close_sec,open,high,low,close,rsi14,dow
1704481200,1704484800,2048.17700000,2050.31700000,2044.89000000,2045.68200000,51.707885,5
1704484800,1704488400,2045.70500000,2045.76600000,2042.78700000,2043.56900000,48.935245,5
1704488400,1704492000,2043.55500000,2046.17700000,2043.55500000,2045.47900000,51.468501,5
1704668400,1704672000,2044.63600000,2045.57500000,2042.90200000,2044.20800000,49.701550,0
1704672000,1704675600,2044.21200000,2046.26400000,2043.70700000,2045.94200000,52.116759,1
1704675600,1704679200,2045.95600000,2046.58400000,2042.79100000,2043.74700000,48.914836,1
1704679200,1704682800,2043.77100000,2043.80500000,2041.20400000,2041.28500000,45.535570,1
1704682800,1704686400,2041.28800000,2041.50300000,2035.01700000,2036.09800000,39.365249,1
1704686400,1704690000,2036.11700000,2037.54300000,2035.58100000,2035.78300000,39.019455,1
1704690000,1704693600,2035.73600000,2036.09000000,2026.94300000,2030.67500000,33.829903,1
1704693600,1704697200,2030.66500000,2033.26100000,2030.32000000,2032.91100000,37.733870,1
1704697200,1704700800,2032.87000000,2033.15300000,2028.57400000,2031.39300000,36.173528,1
1704700800,1704704400,2031.39300000,2031.73800000,2027.28900000,2028.31700000,33.179488,1
1704704400,1704708000,2028.28700000,2031.68700000,2026.46600000,2029.08900000,34.641610,1
1704708000,1704711600,2029.13300000,2029.45800000,2026.95300000,2027.56600000,33.102730,1
1704711600,1704715200,2027.56700000,2027.89200000,2016.67400000,2020.08700000,26.805388,1
1704715200,1704718800,2020.05100000,2024.88900000,2018.83000000,2024.57200000,34.813904,1
1704718800,1704722400,2024.60200000,2025.47900000,2018.36800000,2018.93100000,30.320390,1
1704722400,1704726000,2018.88800000,2027.14900000,2018.45100000,2026.38600000,41.134071,1
1704726000,1704729600,2026.34900000,2034.80600000,2025.47000000,2034.22700000,49.934690,1
1704729600,1704733200,2034.25900000,2036.89800000,2031.36700000,2032.10700000,47.851661,1
1704733200,1704736800,2032.14000000,2033.00000000,2027.01400000,2027.63900000,43.712950,1
1704736800,1704740400,2027.63600000,2028.28000000,2026.27500000,2026.50500000,42.703429,1
1704740400,1704744000,2026.51000000,2029.59400000,2026.46000000,2029.30100000,46.013945,1
1704744000,1704747600,2029.31500000,2029.83700000,2026.08200000,2027.12800000,43.891415,1
1704747600,1704751200,2027.11800000,2028.71000000,2027.04400000,2027.99800000,44.985586,1
1704754800,1704758400,2027.98700000,2030.68500000,2027.63500000,2030.43900000,48.046850,1
1704758400,1704762000,2030.41100000,2034.93800000,2030.41100000,2034.33700000,52.584238,2
1704762000,1704765600,2034.33800000,2035.61500000,2031.13900000,2032.16200000,49.962207,2
1704765600,1704769200,2032.16900000,2035.90000000,2032.06900000,2034.13700000,52.288670,2
1704769200,1704772800,2034.17000000,2034.91700000,2032.97000000,2033.58900000,51.572178,2
1704772800,1704776400,2033.59700000,2034.97300000,2032.23400000,2032.86700000,50.588624,2
1704776400,1704780000,2032.86700000,2033.51000000,2030.29300000,2032.77300000,50.453712,2
1704780000,1704783600,2032.81000000,2035.10600000,2031.17000000,2033.13500000,50.995710,2
1704783600,1704787200,2033.16000000,2037.21300000,2032.18200000,2035.96100000,55.122946,2
1704787200,1704790800,2036.01100000,2038.25800000,2031.24900000,2034.26000000,52.269371,2
1704790800,1704794400,2034.21400000,2036.99100000,2033.11800000,2035.39200000,53.976868,2
1704794400,1704798000,2035.39000000,2038.49200000,2034.78600000,2035.42300000,54.025372,2
1704798000,1704801600,2035.45400000,2035.69600000,2033.63900000,2034.96100000,53.126738,2
1704801600,1704805200,2034.99200000,2036.30500000,2033.93600000,2036.24600000,55.351277,2
1704805200,1704808800,2036.29400000,2042.00400000,2031.63300000,2038.63400000,59.224153,2
1704808800,1704812400,2038.59500000,2040.07400000,2033.88900000,2034.59300000,51.140161,2
1704812400,1704816000,2034.56900000,2035.59000000,2028.70800000,2028.70800000,42.122678,2
1704816000,1704819600,2028.65900000,2031.55900000,2026.02100000,2031.12100000,46.303527,2
1704819600,1704823200,2031.16700000,2032.01800000,2027.00100000,2027.59300000,41.574820,2
1704823200,1704826800,2027.56500000,2029.65700000,2026.74600000,2029.13500000,44.254475,2
1704826800,1704830400,2029.14600000,2029.99600000,2027.75900000,2028.79000000,43.770768,2
1704830400,1704834000,2028.80900000,2031.08500000,2028.23700000,2028.38700000,43.177092,2
1704834000,1704837600,2028.43800000,2030.14900000,2028.42800000,2029.88600000,46.105239,2
1704841200,1704844800,2030.53600000,2030.96800000,2027.97700000,2030.40100000,47.113572,2
1704844800,1704848400,2030.40300000,2031.13900000,2029.58800000,2030.25500000,46.845988,3
1704848400,1704852000,2030.22600000,2032.45800000,2027.24200000,2031.75400000,49.986733,3
1704852000,1704855600,2031.73200000,2032.82400000,2030.32600000,2031.79700000,50.077859,3
1704855600,1704859200,2031.80600000,2031.89000000,2028.05100000,2028.80100000,44.054918,3
1704859200,1704862800,2028.79300000,2030.65000000,2028.34600000,2029.71500000,46.181507,3
1704862800,1704866400,2029.71300000,2030.19100000,2025.36500000,2026.62300000,40.564038,3
1704866400,1704870000,2026.62400000,2027.03800000,2023.75900000,2024.52100000,37.247061,3
1704870000,1704873600,2024.54500000,2031.61400000,2024.22100000,2030.92800000,50.526522,3
1704873600,1704877200,2030.92400000,2036.03000000,2030.19000000,2035.20100000,57.053824,3
1704877200,1704880800,2035.15000000,2036.16600000,2034.55900000,2035.64700000,57.681418,3
1704880800,1704884400,2035.71100000,2040.26300000,2034.47100000,2034.82200000,56.049750,3
1704884400,1704888000,2034.82800000,2035.27900000,2032.74800000,2034.04300000,54.482559,3
1704888000,1704891600,2034.04600000,2035.66400000,2031.19000000,2031.51300000,49.629092,3
1704891600,1704895200,2031.52100000,2034.01900000,2029.92200000,2030.19700000,47.270230,3
1704895200,1704898800,2030.23800000,2033.59500000,2026.35000000,2027.36300000,42.577020,3
1704898800,1704902400,2027.37900000,2029.76500000,2024.77400000,2027.81200000,43.533562,3
