time_open_sec,time_close_sec,open,high,low,close,tick_volume,spread,real_volume,dow
1759314300,1759314600,3868.15000000,3871.30000000,3867.42000000,3870.72000000,1952,18,0,3
1759314600,1759314900,3870.68000000,3872.15000000,3869.98000000,3870.81000000,2252,18,0,3
1759314900,1759315200,3870.86000000,3874.00000000,3870.09000000,3873.29000000,2043,18,0,3
1759315200,1759315500,3873.31000000,3873.31000000,3868.14000000,3868.96000000,2220,18,0,3
1759315500,1759315800,3868.97000000,3874.77000000,3868.81000000,3874.44000000,1957,18,0,3
1759315800,1759316100,3874.45000000,3879.64000000,3873.38000000,3878.11000000,2137,18,0,3
1759316100,1759316400,3878.11000000,3879.28000000,3875.58000000,3879.17000000,2129,18,0,3
1759316400,1759316700,3879.17000000,3885.36000000,3879.05000000,3884.86000000,2410,18,0,3
1759316700,1759317000,3884.80000000,3884.88000000,3882.34000000,3883.92000000,2332,18,0,3
1759317000,1759317300,3883.91000000,3889.19000000,3883.42000000,3888.15000000,2510,18,0,3
1759317300,1759317600,3888.13000000,3892.92000000,3887.97000000,3892.74000000,2357,18,0,3
1759317600,1759317900,3892.75000000,3895.30000000,3892.15000000,3893.21000000,2569,18,0,3
1759317900,1759318200,3893.20000000,3894.03000000,3890.96000000,3891.75000000,1880,18,0,3
1759318200,1759318500,3891.75000000,3892.52000000,3888.03000000,3888.63000000,2172,18,0,3
1759318500,1759318800,3888.63000000,3893.87000000,3888.22000000,3888.92000000,2222,18,0,3
1759318800,1759319100,3888.94000000,3893.08000000,3888.94000000,3891.87000000,2108,18,0,3
1759319100,1759319400,3891.88000000,3892.59000000,3890.47000000,3891.31000000,1582,18,0,3
1759319400,1759319700,3891.31000000,3892.34000000,3890.47000000,3892.23000000,1433,18,0,3
1759319700,1759320000,3892.27000000,3893.69000000,3891.73000000,3892.94000000,1167,18,0,3
1759320000,1759320300,3892.98000000,3894.99000000,3892.32000000,3893.24000000,1359,18,0,3
1759320300,1759320600,3893.24000000,3894.01000000,3891.90000000,3893.43000000,1581,18,0,3
1759320600,1759320900,3893.43000000,3895.06000000,3893.02000000,3893.78000000,1312,18,0,3
1759320900,1759321200,3893.82000000,3893.93000000,3888.59000000,3888.60000000,1648,18,0,3
1759321200,1759321500,3888.63000000,3889.22000000,3884.42000000,3886.42000000,2286,18,0,3
1759321500,1759321800,3886.40000000,3887.41000000,3885.23000000,3886.11000000,1733,18,0,3
1759321800,1759322100,3886.12000000,3886.47000000,3883.64000000,3884.68000000,1975,18,0,3
1759322100,1759322400,3884.73000000,3887.64000000,3884.41000000,3887.62000000,1840,18,0,3
1759322400,1759322700,3887.58000000,3891.05000000,3887.00000000,3888.79000000,1887,18,0,3
1759322700,1759323000,3888.68000000,3889.46000000,3885.33000000,3889.14000000,1869,18,0,3
1759323000,1759323300,3889.20000000,3891.49000000,3888.49000000,3890.96000000,1514,18,0,3
1759323300,1759323600,3890.97000000,3891.04000000,3888.77000000,3888.90000000,1440,18,0,3
1759323600,1759323900,3889.00000000,3889.40000000,3885.79000000,3887.79000000,1593,18,0,3
1759323900,1759324200,3887.79000000,3888.85000000,3886.20000000,3886.83000000,1657,18,0,3
1759324200,1759324500,3886.82000000,3889.48000000,3885.76000000,3888.93000000,1380,18,0,3
1759324500,1759324800,3888.93000000,3888.94000000,3886.88000000,3888.09000000,1258,18,0,3
1759324800,1759325100,3888.05000000,3889.48000000,3886.92000000,3888.82000000,1735,18,0,3
1759325100,1759325400,3888.81000000,3889.02000000,3886.28000000,3886.45000000,1627,18,0,3
1759325400,1759325700,3886.43000000,3887.71000000,3886.01000000,3886.09000000,1563,18,0,3
1759325700,1759326000,3886.10000000,3886.60000000,3885.23000000,3885.92000000,1224,18,0,3
1759326000,1759326300,3885.89000000,3887.80000000,3885.31000000,3887.41000000,1228,18,0,3
1759326300,1759326600,3887.42000000,3889.59000000,3887.24000000,3887.40000000,1396,18,0,3
1759326600,1759326900,3887.39000000,3889.05000000,3886.67000000,3888.23000000,1198,18,0,3
1759326900,1759327200,3888.22000000,3888.24000000,3886.13000000,3887.58000000,1195,18,0,3
1759327200,1759327500,3887.58000000,3888.32000000,3886.40000000,3887.82000000,1128,18,0,3
1759327500,1759327800,3887.82000000,3888.52000000,3884.94000000,3885.31000000,1276,18,0,3
1759327800,1759328100,3885.32000000,3885.98000000,3881.14000000,3883.18000000,1774,18,0,3
1759328100,1759328400,3883.19000000,3885.41000000,3882.73000000,3884.39000000,1645,18,0,3
1759328400,1759328700,3884.39000000,3885.36000000,3883.60000000,3884.46000000,1511,18,0,3
1759328700,1759329000,3884.45000000,3884.75000000,3881.92000000,3881.96000000,1231,18,0,3
1759329000,1759329300,3881.96000000,3882.49000000,3878.04000000,3881.72000000,1943,18,0,3
1759329300,1759329600,3881.71000000,3882.02000000,3879.51000000,3880.63000000,1534,18,0,3
1759329600,1759329900,3880.66000000,3882.40000000,3880.09000000,3881.96000000,1248,18,0,3
1759329900,1759330200,3881.96000000,3883.89000000,3881.14000000,3882.88000000,1637,18,0,3
1759330200,1759330500,3882.87000000,3883.35000000,3881.27000000,3882.40000000,1422,18,0,3
1759330500,1759330800,3882.40000000,3884.43000000,3881.89000000,3883.61000000,1528,18,0,3
1759330800,1759331100,3883.61000000,3884.57000000,3882.53000000,3883.24000000,1655,18,0,3
1759331100,1759331400,3883.24000000,3885.38000000,3881.47000000,3883.36000000,2089,18,0,3
1759331400,1759331700,3883.36000000,3885.29000000,3882.87000000,3884.48000000,1562,18,0,3
1759331700,1759332000,3884.40000000,3891.21000000,3884.36000000,3888.50000000,3266,18,0,3
1759332000,1759332300,3888.42000000,3890.58000000,3881.01000000,3881.10000000,3428,18,0,3
1759332300,1759332600,3881.04000000,3882.76000000,3875.44000000,3877.84000000,3210,18,0,3
1759332600,1759332900,3877.83000000,3880.80000000,3875.97000000,3876.53000000,3313,18,0,3
1759332900,1759333200,3876.51000000,3878.79000000,3875.45000000,3876.09000000,2891,18,0,3
1759333200,1759333500,3876.04000000,3877.11000000,3872.01000000,3875.22000000,2923,18,0,3
1759333500,1759333800,3875.21000000,3877.07000000,3870.79000000,3870.87000000,2683,18,0,3
1759333800,1759334100,3870.87000000,3873.48000000,3870.55000000,3870.83000000,2470,18,0,3
1759334100,1759334400,3870.78000000,3871.63000000,3864.52000000,3870.37000000,3023,18,0,3
1759334400,1759334700,3870.36000000,3871.41000000,3868.21000000,3869.18000000,2620,18,0,3
1759334700,1759335000,3869.18000000,3872.64000000,3867.09000000,3872.54000000,2495,18,0,3
1759335000,1759335300,3872.57000000,3874.04000000,3865.36000000,3865.62000000,2674,18,0,3
1759335300,1759335600,3865.53000000,3869.75000000,3863.77000000,3868.60000000,2658,18,0,3
1759335600,1759335900,3868.60000000,3870.27000000,3865.60000000,3866.58000000,2351,18,0,3
1759335900,1759336200,3866.60000000,3870.29000000,3865.60000000,3869.91000000,2153,18,0,3
1759336200,1759336500,3869.99000000,3876.97000000,3869.99000000,3874.31000000,3337,18,0,3
1759336500,1759336800,3874.23000000,3874.84000000,3868.96000000,3871.46000000,3250,18,0,3
1759336800,1759337100,3871.48000000,3875.19000000,3871.21000000,3872.35000000,2791,18,0,3
1759337100,1759337400,3872.33000000,3874.63000000,3869.48000000,3869.99000000,2691,18,0,3
1759337400,1759337700,3869.93000000,3873.96000000,3867.71000000,3872.92000000,3071,18,0,3
1759337700,1759338000,3872.90000000,3873.44000000,3870.90000000,3872.99000000,1994,18,0,3
1759338000,1759338300,3872.84000000,3875.98000000,3869.75000000,3870.91000000,2860,18,0,3
1759338300,1759338600,3870.78000000,3873.55000000,3869.47000000,3871.44000000,3073,18,0,3
1759338600,1759338900,3871.53000000,3872.37000000,3867.62000000,3870.20000000,3033,18,0,3
1759338900,1759339200,3870.17000000,3872.94000000,3868.97000000,3872.94000000,2658,18,0,3
1759339200,1759339500,3872.94000000,3873.22000000,3869.50000000,3870.91000000,2691,18,0,3
1759339500,1759339800,3870.93000000,3875.84000000,3870.93000000,3875.21000000,2230,18,0,3
1759339800,1759340100,3875.25000000,3878.11000000,3874.58000000,3877.87000000,2439,18,0,3
1759340100,1759340400,3877.87000000,3878.69000000,3876.02000000,3877.62000000,2333,18,0,3
1759340400,1759340700,3877.62000000,3878.20000000,3874.99000000,3877.13000000,2478,18,0,3
1759340700,1759341000,3877.13000000,3878.21000000,3856.42000000,3866.62000000,3729,18,0,3
1759341000,1759341300,3866.61000000,3871.49000000,3865.92000000,3869.92000000,4032,18,0,3
1759341300,1759341600,3870.03000000,3873.50000000,3869.80000000,3873.01000000,3260,18,0,3
1759341600,1759341900,3873.04000000,3876.83000000,3870.03000000,3872.05000000,3263,18,0,3
1759341900,1759342200,3872.13000000,3875.99000000,3867.94000000,3874.74000000,3146,18,0,3
1759342200,1759342500,3874.72000000,3875.35000000,3866.55000000,3869.19000000,3238,18,0,3
1759342500,1759342800,3869.13000000,3869.65000000,3862.59000000,3863.33000000,3227,18,0,3
1759342800,1759343100,3863.43000000,3865.00000000,3860.72000000,3861.99000000,3167,18,0,3
1759343100,1759343400,3861.95000000,3864.57000000,3859.43000000,3859.70000000,2871,18,0,3
1759343400,1759343700,3859.71000000,3863.90000000,3858.05000000,3862.14000000,2973,18,0,3
1759343700,1759344000,3862.15000000,3864.30000000,3859.99000000,3861.35000000,2633,18,0,3
1759344000,1759344300,3861.34000000,3866.10000000,3861.32000000,3864.48000000,2404,18,0,3
1759344300,1759344600,3864.52000000,3866.19000000,3863.49000000,3865.90000000,2452,18,0,3
1759344600,1759344900,3865.85000000,3868.63000000,3863.93000000,3868.25000000,2179,18,0,3
1759344900,1759345200,3868.25000000,3869.71000000,3867.71000000,3868.46000000,2088,18,0,3
1759345200,1759345500,3868.47000000,3868.55000000,3860.75000000,3864.88000000,2554,18,0,3
1759345500,1759345800,3864.88000000,3868.39000000,3864.04000000,3868.00000000,2115,18,0,3
1759345800,1759346100,3868.01000000,3869.31000000,3866.99000000,3867.24000000,2088,18,0,3
1759346100,1759346400,3867.24000000,3869.44000000,3866.74000000,3868.16000000,1992,18,0,3
1759346400,1759346700,3868.22000000,3869.27000000,3867.55000000,3868.94000000,1778,18,0,3
1759346700,1759347000,3868.93000000,3870.71000000,3868.83000000,3870.39000000,1565,18,0,3
1759347000,1759347300,3870.39000000,3871.23000000,3869.48000000,3870.25000000,1854,18,0,3
1759347300,1759347600,3870.34000000,3871.31000000,3869.77000000,3871.03000000,1688,18,0,3
1759347600,1759347900,3871.03000000,3871.51000000,3869.45000000,3870.60000000,1818,18,0,3
1759347900,1759348200,3870.63000000,3871.59000000,3870.08000000,3870.59000000,1536,18,0,3
1759348200,1759348500,3870.54000000,3870.92000000,3869.77000000,3869.83000000,1509,18,0,3
1759348500,1759348800,3869.83000000,3871.42000000,3869.51000000,3870.93000000,1723,18,0,3
1759348800,1759349100,3870.93000000,3871.36000000,3869.61000000,3870.92000000,1576,18,0,3
1759349100,1759349400,3870.92000000,3871.26000000,3868.99000000,3869.41000000,1360,18,0,3
1759349400,1759349700,3869.41000000,3870.30000000,3868.58000000,3869.89000000,1654,18,0,3
1759349700,1759350000,3869.90000000,3871.06000000,3868.95000000,3870.28000000,1423,18,0,3
1759350000,1759350300,3870.28000000,3871.76000000,3870.28000000,3871.43000000,1568,18,0,3
1759350300,1759350600,3871.40000000,3871.89000000,3869.05000000,3870.80000000,1699,18,0,3
1759350600,1759350900,3870.84000000,3871.36000000,3870.11000000,3870.69000000,1165,18,0,3
1759350900,1759351200,3870.69000000,3870.73000000,3865.58000000,3865.63000000,1760,18,0,3
1759351200,1759351500,3865.61000000,3866.60000000,3863.83000000,3864.17000000,1794,18,0,3
1759351500,1759351800,3864.15000000,3864.65000000,3861.31000000,3862.09000000,1679,18,0,3
1759351800,1759352100,3862.05000000,3865.05000000,3861.66000000,3864.56000000,1867,18,0,3
1759352100,1759352400,3864.58000000,3865.08000000,3860.62000000,3860.83000000,1994,18,0,3
1759352400,1759352700,3860.83000000,3860.84000000,3856.50000000,3856.76000000,2431,18,0,3
1759352700,1759353000,3856.75000000,3858.41000000,3855.03000000,3856.78000000,2489,18,0,3
1759353000,1759353300,3856.78000000,3860.95000000,3856.36000000,3859.85000000,2279,18,0,3
1759353300,1759353600,3859.85000000,3864.84000000,3859.47000000,3864.66000000,1855,18,0,3
1759353600,1759353900,3864.65000000,3864.89000000,3862.03000000,3864.30000000,2110,18,0,3
1759353900,1759354200,3864.29000000,3864.71000000,3862.84000000,3863.05000000,1468,18,0,3
1759354200,1759354500,3863.00000000,3866.30000000,3863.00000000,3866.00000000,1598,18,0,3
1759354500,1759354800,3865.98000000,3866.19000000,3864.08000000,3864.17000000,1623,18,0,3
1759354800,1759355100,3864.16000000,3864.48000000,3858.02000000,3859.47000000,2493,18,0,3
1759355100,1759355400,3859.45000000,3863.24000000,3859.25000000,3862.81000000,1967,18,0,3
1759355400,1759355700,3862.78000000,3863.36000000,3861.37000000,3862.19000000,1638,18,0,3
1759355700,1759356000,3862.21000000,3863.85000000,3861.28000000,3862.14000000,1510,18,0,3
1759356000,1759356300,3862.15000000,3865.49000000,3861.39000000,3864.88000000,1572,18,0,3
